fsq_id,distance_station,latitude,longitude,name,category_name,rating,city_bikes_id
5baffb6598fbfc002c5153b2,543,49.283401,-123.115164,Kokoro Tokyo Mazesoba,Ramen Restaurant,,5
4b77ba28f964a52064a82ee3,642,49.279619,-123.101293,Keefer Bar,Cocktail Bar,,5
5170656ae4b029a050dd8a49,613,49.283447,-123.116466,The Keg Steakhouse + Bar,Restaurant,,5
4b513a38f964a5200b4827e3,677,49.279609,-123.100805,Bao Bei,Chinese Restaurant,,5
51a7a349454a2b1f0e2449f8,603,49.278455,-123.11823,Homer St. Cafe and Bar,Restaurant,,5
4d2cce46ae3a8cfa4067bf70,762,49.283302,-123.11938,Hawksworth Restaurant,Restaurant,,5
4aa6bc27f964a520df4a20e3,578,49.284949,-123.110915,Steamworks Brewing Co,Bar,,5
56e71692498e78e8143f679d,780,49.276488,-123.119685,Tacofino,Taco Restaurant,,5
4b7c2ccaf964a5201a822fe3,779,49.274585,-123.102893,Creekside Park,Restaurant,,5
4aa7f561f964a520384e20e3,792,49.286766,-123.112205,Miku,Sushi Restaurant,,5
59d195e16f706a3692499c29,545,49.275175,-123.11284,Honey Salt,Restaurant,,5
626590fd7335471b48e4ed8d,734,49.285619,-123.114947,Breka Bakery & Café,Bakery,,5
4b5fa47ff964a52000c629e3,592,49.280189,-123.118297,Japadog,Hot Dog Joint,,5
4aa7fa85f964a520704e20e3,876,49.278403,-123.098188,Phnom Penh,Cambodian Restaurant,,5
5af8880a838e59002ce2d728,826,49.275871,-123.119875,Angus T,Bakery,,5
4aa733eef964a520434c20e3,572,49.283831,-123.105302,The Old Spaghetti Factory,Italian Restaurant,,5
4aa942d5f964a520ba5220e3,891,49.276123,-123.121114,Blue Water Cafe + Raw Bar,Seafood Restaurant,,5
4aa74686f964a520944c20e3,856,49.287101,-123.113775,Fairmont Waterfront,Restaurant,,5
4f2068c7e4b0bf9c529c7dd5,801,49.283089,-123.100534,Cadeaux Bakery Inc,Bakery,,5
4aa73165f964a5203b4c20e3,868,49.284288,-123.10023,Alibi Room,Beer Bar,,5
5751fda3498e4f21436b3b09,972,49.275114,-123.121514,Mister,Ice Cream Parlor,,5
4e72a8b21495dffb8e949b60,951,49.271451,-123.107006,Terra Breads,Bakery,,5
51742960498e908f74206e41,657,49.281034,-123.119018,Five Guys Burgers & Fries,Burger Joint,,5
5445a54e498e9497033f48c4,404,49.277218,-123.11415,Boston Pizza,Pizzeria,,5
5dfbfde903fd76000772ca0e,829,49.280489,-123.098771,Mello,Donut Shop,,5
58fa60c8a35dce24a1fc26cb,566,49.280369,-123.117907,JINYA Ramen Bar - Vancouver Downtown,Ramen Restaurant,,5
4de06971d164e323c7acc863,624,49.283167,-123.103299,Milano Boutique Coffee Roasters,Café,,5
